"id","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","Collector Number","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude","longitude","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
190079105,"2023-11-02 09:52:12+02:00","11/2/23","2023-11-02 07:52:12 UTC","Pretoria",147500,"ggi_gardens","Morgan Gostel","2023-11-05 15:40:50 UTC","2023-11-25 14:06:30 UTC","needs_id",,"https://www.inaturalist.org/observations/190079105","https://static.inaturalist.org/photos/333135807/medium.jpg",,,"Gostel 835","Gostel 835",0,0,"FALSE",3,,,,9,"Roodeplaat, GP, ZA",-25.63945194,28.35596969,29936,"private","open","TRUE",,,,"Hilliardiella elaeagnoides","Bicolour Vernonia","Plantae",587506
190079465,"2023-11-02 09:58:10+02:00","11/2/23","2023-11-02 07:58:10 UTC","Pretoria",147500,"ggi_gardens","Morgan Gostel","2023-11-05 15:43:12 UTC","2023-11-11 19:57:07 UTC","needs_id",,"https://www.inaturalist.org/observations/190079465","https://static.inaturalist.org/photos/333136526/medium.jpg",,,"Gostel 836","Gostel 836",0,0,"FALSE",3,,,,9,"Roodeplaat Nature Reserve, Roodeplaat, GP, ZA",-25.63939456,28.35513759,29936,"private","open","TRUE",,,,"Pseudopegolettia tenella","Bluebrush","Plantae",592572
190080481,"2023-11-02 10:21:09+02:00","11/2/23","2023-11-02 08:21:09 UTC","Pretoria",147500,"ggi_gardens","Morgan Gostel","2023-11-05 15:51:07 UTC","2023-11-25 14:06:32 UTC","needs_id",,"https://www.inaturalist.org/observations/190080481","https://static.inaturalist.org/photos/333137981/medium.jpg",,,"Gostel 837","Gostel 837",0,0,"FALSE",3,,,,9,"Roodeplaat Dam, Roodeplaat, GP, ZA",-25.63810604,28.35265274,29936,"private","open","TRUE",,,,"Dicoma macrocephala","Bighead Karmedik","Plantae",583734
